"Department","DistinguishedName","Enabled","GivenName","mail","Manager","Name","ObjectClass","ObjectGUID","OfficePhone","SamAccountName","SID","sn","Surname","Title","UserPrincipalName"
"Human Resources","CN=Neil Orint","True","Neil","neilo@contoso.com","CN=April Stewart","Neil Orint","user","8f732dea-9040-4cc3-bb9f-5a49657d3be5","(804) 555-5958","neilo","S-1-5-21-331390976-2650875657-2422772959-1905","Orint","Orint","Salesperson",
"Human Resources","CN=Luka Abrus","True","Luka","lukaa@contoso.com","CN=April Stewart","Luka Abrus","user","a69a1b96-822b-4c67-b9f1-a4f52bb27aba","(804) 555-3648","lukaa","S-1-5-21-331390976-2650875657-2422772959-1906","Abrus","Abrus","Salesperson",
"Human Resources","CN=Euan Garden","True","Euan","euang@contoso.com","CN=April Stewart","Euan Garden","user","dfdadc39-7335-404d-af66-c77cf13a15f8","(804) 555-3383","euang","S-1-5-21-331390976-2650875657-2422772959-1907","Garden","Garden","Salesperson",
"Sales","CN=Eran Harel","True","Eran","eranh@contoso.com","CN=Jose Saraiva","Eran Harel","user","8a883c57-24f4-4bb9-8244-fc03f8cd24f6","(213) 555-1265","eranh","S-1-5-21-331390976-2650875657-2422772959-1908","Harel","Harel","Salesperson",
"Sales","CN=Michael Ovesen","True","Michael","michaeo@contoso.com","CN=Jose Saraiva","Michael Ovesen","user","601b5da0-1569-4b7b-8678-af4fe73a07c4","(201) 555-5625","michaeo","S-1-5-21-331390976-2650875657-2422772959-1909","Ovesen","Ovesen","Salesperson",
"Sales","CN=Kim Abercrombie","True","Kim","kima@contoso.com","CN=Jose Saraiva","Kim Abercrombie","user","664725d3-879e-4447-98da-45a39a55acde","(410) 555-3839","kima","S-1-5-21-331390976-2650875657-2422772959-1910","Abercrombie","Abercrombie","Salesperson",
"Operations","CN=Rob Young","True","Rob","roby@contoso.com","CN=Arturo Lopez","Rob Young","user","5f880cde-c4f9-4480-82ea-0362b5397b0f","(206) 555-1739","roby","S-1-5-21-331390976-2650875657-2422772959-1911","Young","Young","IT Manager",
"Project Management","CN=Terry Earls","True","Terry","terrye@contoso.com","CN=Mike Nash","Terry Earls","user","8b66e377-10a0-4346-9f98-4098cfcbffa7","(206) 555-3164","terrye","S-1-5-21-331390976-2650875657-2422772959-1912","Earls","Earls","Project Manager",
"Operations","CN=Michael Mainer","True","Michael","michaem@contoso.com","CN=Erika Cheley","Michael Mainer","user","82af565f-9620-4754-a2d8-cb4baa18c1d0","(206) 555-4542","michaem","S-1-5-21-331390976-2650875657-2422772959-1913","Mainer","Mainer","Manager",
"Human Resources","CN=Sven Buck","True","Sven","svenb@contoso.com","CN=Arthur Yasinski","Sven Buck","user","a204f649-8442-4f66-b157-36a962d9ed99","(214) 555-4151","svenb","S-1-5-21-331390976-2650875657-2422772959-1914","Buck","Buck","Salesperson",
"Sales","CN=Eric Gruber","True","Eric","ericg@contoso.com","CN=Lene Aalling","Eric Gruber","user","b9a0bf66-8825-4609-9358-a43f9ab0404d","(206) 555-4629","ericg","S-1-5-21-331390976-2650875657-2422772959-1915","Gruber","Gruber","Salesperson",
"Operations","CN=Jelle Visser","True","Jelle","jellev@contoso.com","CN=Keith Dishmo","Jelle Visser","user","0b5eb69f-c854-4a3e-92d4-70a9f04bf1ca","(206) 555-4932","jellev","S-1-5-21-331390976-2650875657-2422772959-1916","Visser","Visser","Procurement Manager",
"Sales","CN=Erik Gubbels","True","Erik","erikg@contoso.com","CN=April Stewart","Erik Gubbels","user","67299c87-9e80-4ee5-97f6-7efaafbe5bb1","(425) 555-9296","erikg","S-1-5-21-331390976-2650875657-2422772959-1917","Gubbels","Gubbels","Salesperson",
"Sales","CN=Dominik Paiha","True","Dominik","dominip@contoso.com","CN=Jose Saraiva","Dominik Paiha","user","02abd93d-71f3-4ca7-bba1-929dee6bc5d9","(212) 555-2538","dominip","S-1-5-21-331390976-2650875657-2422772959-1918","Paiha","Paiha","Salesperson",
"Sales","CN=Dan Hough","True","Dan","danh@contoso.com","CN=Arthur Yasinski","Dan Hough","user","9b7d63c5-c77c-415c-b37c-c27e1c22112e","(607) 555-4568","danh","S-1-5-21-331390976-2650875657-2422772959-1919","Hough","Hough","Salesperson",
"Sales","CN=Tina Lassila","True","Tina","tinal@contoso.com","CN=Arthur Yasinski","Tina Lassila","user","ad8b0c28-0128-4688-a396-19723b1a77b1","(607) 555-6337","tinal","S-1-5-21-331390976-2650875657-2422772959-1920","Lassila","Lassila","Salesperson",
"Sales","CN=Nuno Farinha","True","Nuno","nunof@contoso.com","CN=David Simpson","Nuno Farinha","user","01d1e01e-bf53-419a-9762-17270b1a7328","(214) 555-1812","nunof","S-1-5-21-331390976-2650875657-2422772959-1921","Farinha","Farinha","Salesperson",
"Sales","CN=Maru Subrmani","True","Maru","marus@contoso.com","CN=April Stewart","Maru Subrmani","user","94275b5c-ed29-4f08-b12c-0c0e48f4103f","(850) 555-5277","marus","S-1-5-21-331390976-2650875657-2422772959-1922","Subrmani","Subrmani","Salesperson",
"Sales","CN=Marc Faerber","True","Marc","marcf@contoso.com","CN=David Simpson","Marc Faerber","user","d8fd85c5-5df6-4d42-804e-14c618b3bbba","(213) 555-3269","marcf","S-1-5-21-331390976-2650875657-2422772959-1923","Faerber","Faerber","Salesperson",
"Sales","CN=Kari Furse","True","Kari","karif@contoso.com","CN=Jose Saraiva","Kari Furse","user","825e514b-d061-40e4-af79-1d3d432447ad","(541) 555-2668","karif","S-1-5-21-331390976-2650875657-2422772959-1924","Furse","Furse","Salesperson",
"Senior Management","CN=Karen Berg","True","Karen","karenb@contoso.com","CN=Julian Isla","Karen Berg","user","026dc3e3-4406-43c7-9a3e-cba432b0447b","(425) 555-0174","karenb","S-1-5-21-331390976-2650875657-2422772959-1925","Berg","Berg","Sr. Account Manager",
"IT Administrators","CN=Ian Tien","True","Ian","iant@contoso.com","CN=Amy Alberts","Ian Tien","user","0a9a7b2d-1dd8-4282-aae1-fae964ec5f6d","(206) 555-1437","iant","S-1-5-21-331390976-2650875657-2422772959-1926","Tien","Tien","HR Specialist",
"Sales","CN=Scott Gode","True","Scott","scottg@contoso.com","CN=David Simpson","Scott Gode","user","732b9335-bd32-4ab2-9391-cdf3b8337250","(201) 555-8474","scottg","S-1-5-21-331390976-2650875657-2422772959-1927","Gode","Gode","Salesperson",
"Sales","CN=Gina Boyer","True","Gina","ginab@contoso.com","CN=Arthur Yasinski","Gina Boyer","user","561988f3-f047-4346-b081-09051fe8e12d","(509) 555-3766","ginab","S-1-5-21-331390976-2650875657-2422772959-1928","Boyer","Boyer","Salesperson",
"Sales","CN=Annelie Zubar","True","Annelie","anneliz@contoso.com","CN=Jose Saraiva","Annelie Zubar","user","043eef25-992d-4761-b948-1ea1977b4160","2555-4845","anneliz","S-1-5-21-331390976-2650875657-2422772959-1929","Zubar","Zubar","Salesperson",
"Sales","CN=David Bossard","True","David","davidb@contoso.com","CN=April Stewart","David Bossard","user","a37a24a1-f54a-4e97-933f-b7aaf00d96af","(206) 555-1422","davidb","S-1-5-21-331390976-2650875657-2422772959-1930","Bossard","Bossard","Salesperson",
"Sales","CN=Alicia Thomber","True","Alicia","aliciat@contoso.com","CN=David Simpson","Alicia Thomber","user","54166cfd-94e0-4fa8-8794-3ade7fb3fb95","(714) 555-4825","aliciat","S-1-5-21-331390976-2650875657-2422772959-1931","Thomber","Thomber","Salesperson",
"Sales","CN=Marcelo Truffat","True","Marcelo","marcelt@contoso.com","CN=Jose Saraiva","Marcelo Truffat","user","a5a4f9bf-2e00-4739-bfaa-e115b6a7dd97","(206) 555-1785","marcelt","S-1-5-21-331390976-2650875657-2422772959-1932","Truffat","Truffat","Salesperson",
"Engineering Operations","CN=Tony Madigan","True","Tony","tonym@contoso.com","CN=Carol Troup","Tony Madigan","user","6b4a2b4e-0b8d-456d-be2e-d3ddcdc51fb3","(206) 555-6941","tonym","S-1-5-21-331390976-2650875657-2422772959-1933","Madigan","Madigan","Senior Engineer",
"Engineering Operations","CN=Sunil Koduri","True","Sunil","sunilk@contoso.com","CN=Carol Troup","Sunil Koduri","user","5f29b1e3-d951-4f9d-923d-30bcd2395b77","(206) 555-5651","sunilk","S-1-5-21-331390976-2650875657-2422772959-1934","Koduri","Koduri","Senior Engineer",
"Engineering Operations","CN=Simon Pearson","True","Simon","simonp@contoso.com","CN=Carol Troup","Simon Pearson","user","ade56bf7-667e-465f-bd7a-8402ed4f949a","(206) 555-2318","simonp","S-1-5-21-331390976-2650875657-2422772959-1935","Pearson","Pearson","Senior Engineer",
"Engineering Operations","CN=Paul Duffy","True","Paul","pauld@contoso.com","CN=Carol Troup","Paul Duffy","user","9aca78b2-fd43-4c54-a946-68bc3cabdce6","(206) 555-9351","pauld","S-1-5-21-331390976-2650875657-2422772959-1936","Duffy","Duffy","Senior Engineer",
"Engineering Operations","CN=Kate Taneyhill","True","Kate","katet@contoso.com","CN=Carol Troup","Kate Taneyhill","user","081d9d81-2445-430c-b1fe-520ecd3ecf00","(206) 555-2732","katet","S-1-5-21-331390976-2650875657-2422772959-1937","Taneyhill","Taneyhill","Senior Engineer",
"Engineering Operations","CN=Chris Gray","True","Chris","chrisg@contoso.com","CN=Carol Troup","Chris Gray","user","a0e7e4af-217c-4c54-878e-b5236e5c96df","(206) 555-9244","chrisg","S-1-5-21-331390976-2650875657-2422772959-1938","Gray","Gray","Senior Engineer",
"Engineering Operations","CN=Stephen Deming","True","Stephen","stephed@contoso.com","CN=Carol Troup","Stephen Deming","user","4edd87db-2894-4448-be3a-6982b0baf17d","(206) 555-1211","stephed","S-1-5-21-331390976-2650875657-2422772959-1939","Deming","Deming","Engineer",
"Engineering Operations","CN=Olivier Fontana","True","Olivier","olivief@contoso.com","CN=Carol Troup","Olivier Fontana","user","9f42a891-9741-4c8c-88e1-1939c93893dc","(206) 555-7444","olivief","S-1-5-21-331390976-2650875657-2422772959-1940","Fontana","Fontana","Engineer",
"Engineering Operations","CN=Michelle Fredette","True","Michelle","michelf@contoso.com","CN=Carol Troup","Michelle Fredette","user","b6c3f269-7c18-4c71-96d9-fa6422cca9dd","(206) 555-6132","michelf","S-1-5-21-331390976-2650875657-2422772959-1941","Fredette","Fredette","Engineer",
"Strategy Consulting","CN=Arlene Huff","True","Arlene","arleneh@contoso.com","CN=Jenni Merrifield","Arlene Huff","user","6f06f83c-683b-471c-8113-4b4d5119787b","(206) 555-9538","arleneh","S-1-5-21-331390976-2650875657-2422772959-1942","Huff","Huff","Strategy Consultant",
"Marketing","CN=Pieter Wycoff","True","Pieter","pieterw@contoso.com","CN=Kelly Krout","Pieter Wycoff","user","f276117d-795e-464f-be3c-80385f7c1f66","(206) 555-9269","pieterw","S-1-5-21-331390976-2650875657-2422772959-1943","Wycoff","Wycoff","Marketing Specialist",
"Engineering Operations","CN=Erwin Zischka","True","Erwin","erwinz@contoso.com","CN=Carol Troup","Erwin Zischka","user","2d81b25a-4841-48ec-a283-8001181e3f88","(206) 555-8835","erwinz","S-1-5-21-331390976-2650875657-2422772959-1944","Zischka","Zischka","Engineer",
"Operations","CN=Lukas Keller","True","Lukas","lukask@contoso.com","CN=Erika Cheley","Lukas Keller","user","a6f257e6-b2a2-404b-8327-179f0279f3ac","(206) 555-3556","lukask","S-1-5-21-331390976-2650875657-2422772959-1945","Keller","Keller","Manager",
"Operations","CN=Ken Ewert","True","Ken","kene@contoso.com","CN=Erika Cheley","Ken Ewert","user","115f290d-6bdc-4de9-b0e4-790c5c440127","(206) 555-7698","kene","S-1-5-21-331390976-2650875657-2422772959-1946","Ewert","Ewert","Manager",
"Operations","CN=Justin Thorp","True","Justin","justint@contoso.com","CN=Erika Cheley","Justin Thorp","user","dda79200-5c91-4359-a871-19943799fa5b","(206) 555-1393","justint","S-1-5-21-331390976-2650875657-2422772959-1947","Thorp","Thorp","Manager",
"Operations","CN=Jon Grande","True","Jon","jong@contoso.com","CN=Erika Cheley","Jon Grande","user","496e3974-291c-4a49-add5-3b9a2da18ec6","(206) 555-7649","jong","S-1-5-21-331390976-2650875657-2422772959-1948","Grande","Grande","Manager",
"Operations","CN=Jo Berry","True","Jo","job@contoso.com","CN=Ben Spain","Jo Berry","user","e2bab5fd-4aa5-4d26-8f8f-17ba4b163dd7","(206) 555-9867","job","S-1-5-21-331390976-2650875657-2422772959-1949","Berry","Berry","Manager",
"Operations","CN=Hans Gufler","True","Hans","hansg@contoso.com","CN=Ben Spain","Hans Gufler","user","24f7f219-4e58-4478-ab5b-0c6f3e901831","(206) 555-1298","hansg","S-1-5-21-331390976-2650875657-2422772959-1950","Gufler","Gufler","Manager",
"Operations","CN=David Bradley","True","David","davidb1@contoso.com","CN=Ben Spain","David Bradley","user","94b0053a-e3d2-4bcd-974d-bf16903480b5","(206) 555-5934","davidb1","S-1-5-21-331390976-2650875657-2422772959-1951","Bradley","Bradley","Manager",
"Operations","CN=Marie Dubois","True","Marie","maried@contoso.com","CN=Arturo Lopez","Marie Dubois","user","7cee8e85-e3cf-4b6f-84ec-fac89107e957","(206) 555-5567","maried","S-1-5-21-331390976-2650875657-2422772959-1952","Dubois","Dubois","IT Manager",
"Operations","CN=Kevin Kennedy","True","Kevin","kevink@contoso.com","CN=Arturo Lopez","Kevin Kennedy","user","abe8e04a-d2cf-4513-b6f3-bd4b3f83d0ae","(206) 555-7455","kevink","S-1-5-21-331390976-2650875657-2422772959-1953","Kennedy","Kennedy","IT Manager",
"Operations","CN=Kai Axford","True","Kai","kaia@contoso.com","CN=Arturo Lopez","Kai Axford","user","db494dc0-7737-43e8-8c15-5d004cad6e15","(206) 555-9541","kaia","S-1-5-21-331390976-2650875657-2422772959-1954","Axford","Axford","IT Manager",
"Sales","CN=Manish Chopra","True","Manish","manishc@contoso.com","CN=Lene Aalling","Manish Chopra","user","805a6755-468a-4064-a72a-2e7b50611f8e","(413) 555-3855","manishc","S-1-5-21-331390976-2650875657-2422772959-1955","Chopra","Chopra","Salesperson",
"Marketing","CN=Sunil Uppal","True","Sunil","sunilu@contoso.com","CN=Kelly Krout","Sunil Uppal","user","06ae3442-d45c-4434-bcbc-8fffc563159c","(206) 555-2416","sunilu","S-1-5-21-331390976-2650875657-2422772959-1956","Uppal","Uppal","Public Relations Specialist",
"Sales","CN=Luis Bonifaz","True","Luis","luisb@contoso.com","CN=Arthur Yasinski","Luis Bonifaz","user","6938e863-6bcd-4c01-a4c9-9731a62ea24e","(108) 5-7862","luisb","S-1-5-21-331390976-2650875657-2422772959-1957","Bonifaz","Bonifaz","Salesperson",
"Sales","CN=Kevin Verboort","True","Kevin","kevinv@contoso.com","CN=Arthur Yasinski","Kevin Verboort","user","e19dc78a-e677-4d14-b73d-16ea5ad2c3f0","(206) 555-3654","kevinv","S-1-5-21-331390976-2650875657-2422772959-1958","Verboort","Verboort","Salesperson",
"Marketing","CN=Christian Jene","True","Christian","christj@contoso.com","CN=Kelly Krout","Christian Jene","user","cf154fe7-9cdf-41f6-b875-437e5017faac","(206) 555-8834","christj","S-1-5-21-331390976-2650875657-2422772959-1959","Jene","Jene","Marketing Specialist",
"Marketing","CN=Felipe Martins","True","Felipe","felipem@contoso.com","CN=Kelly Krout","Felipe Martins","user","6b3088e0-bb66-4e34-b1a1-26ccf714a0a2","(206) 555-2312","felipem","S-1-5-21-331390976-2650875657-2422772959-1960","Martins","Martins","Marketing Specialist",
"Marketing","CN=John Evans","True","John","johnev@contoso.com","CN=Kelly Krout","John Evans","user","061929ec-ccb5-407a-ad08-95d26d8cef92","(206) 555-8951","johnev","S-1-5-21-331390976-2650875657-2422772959-1961","Evans","Evans","Marketing Specialist",
"Operations","CN=Heinrich Fischer","True","Heinrich","heinrif@contoso.com","CN=Arturo Lopez","Heinrich Fischer","user","5e9619e6-7db9-49b1-b02d-74e7f13e9804","(206) 555-3325","heinrif","S-1-5-21-331390976-2650875657-2422772959-1962","Fischer","Fischer","IT Manager",
"Sales","CN=Kirk Nason","True","Kirk","kirkj@contoso.com","CN=Jose Saraiva","Kirk Nason","user","330d3d4c-179a-4c71-9b45-7a94d702b535","(91) 555-8595","kirkj","S-1-5-21-331390976-2650875657-2422772959-1963","Nason","Nason","Salesperson",
"Operations","CN=Brian Cox","True","Brian","brianc@contoso.com","CN=Keith Dishmo","Brian Cox","user","8857777c-5356-480d-bde8-7c23032db281","(206) 555-4515","brianc","S-1-5-21-331390976-2650875657-2422772959-1964","Cox","Cox","Procurement Manager",
"Sales","CN=Patricia Doyle","True","Patricia","patricd@contoso.com","CN=Lene Aalling","Patricia Doyle","user","c021f93c-6083-4fe8-8354-01406e5dc9a2","(312) 555-9181","patricd","S-1-5-21-331390976-2650875657-2422772959-1965","Doyle","Doyle","Salesperson",
"Sales","CN=Ron Gabel","True","Ron","rong@contoso.com","CN=April Stewart","Ron Gabel","user","5b97edec-c8a4-44cb-93a9-2994c538296f","(617) 555-2429","rong","S-1-5-21-331390976-2650875657-2422772959-1966","Gabel","Gabel","Salesperson",
"Sales","CN=Shmuel Yair","True","Shmuel","shmuely@contoso.com","CN=David Simpson","Shmuel Yair","user","87baf3ad-a775-4d5c-8a10-4c0d5fb0619c","(404) 555-2693","shmuely","S-1-5-21-331390976-2650875657-2422772959-1967","Yair","Yair","Salesperson",
"Marketing","CN=Phyllis Harris","True","Phyllis","phyllih@contoso.com","CN=Kelly Krout","Phyllis Harris","user","40ca4888-5bf2-46d7-a822-e727c49aa184","(206) 555-1214","phyllih","S-1-5-21-331390976-2650875657-2422772959-1968","Harris","Harris","Marketing Specialist",
"Sales","CN=Jenny Lysaker","True","Jenny","jennyl@contoso.com","CN=April Stewart","Jenny Lysaker","user","a28e6030-6acc-4ca3-b715-88685ff511d5","(860) 555-4516","jennyl","S-1-5-21-331390976-2650875657-2422772959-1969","Lysaker","Lysaker","Salesperson",
"Marketing","CN=Jordao Moreno","True","Jordao","jordaom@contoso.com","CN=Kelly Krout","Jordao Moreno","user","5d8b4d1b-baa0-4805-9f0d-e2b68d462b4e","(206) 555-6811","jordaom","S-1-5-21-331390976-2650875657-2422772959-1970","Moreno","Moreno","Marketing Specialist",
"Sales","CN=Josh Edwards","True","Josh","joshe@contoso.com","CN=Lene Aalling","Josh Edwards","user","50711537-215b-474b-aba0-1e13a1f398ea","(026) 555-8454","joshe","S-1-5-21-331390976-2650875657-2422772959-1971","Edwards","Edwards","Salesperson",
"Marketing","CN=Chris Johnson","True","Chris","chrisj@contoso.com","CN=Kelly Krout","Chris Johnson","user","f92c1baa-0038-4247-be68-12043fcc34e3","(206) 555-9000","chrisj","S-1-5-21-331390976-2650875657-2422772959-1999","Johnson","Johnson","Marketing Specialist",
"Operations","CN=Kris Johnsen","True","Kris","krisj@contoso.com","CN=Arturo Lopez","Kris Johnsen","user","d64b8476-3c5f-4caf-af6f-9a0f1c51d19f","(206) 555-9001","krisj","S-1-5-21-331390976-2650875657-2422772959-2000","Johnsen","Johnsen","IT Manager",
"Accounting","CN=Chris Johnson [FINANCE]","True","Chris","chrisjoh@contoso.com","CN=Karim Manar","Chris Johnson [FINANCE]","user","41e97533-89f7-45d7-8246-eaa449b5651d","(206) 555-9002","chrisjoh","S-1-5-21-331390976-2650875657-2422772959-2001","Johnson","Johnson","Accountant",
"Engineering Operations","CN=Chris F. Johnson","True","Chris","chrisjohn@contoso.com","CN=Carol Troup","Chris F. Johnson","user","b3da460c-6191-4725-b08d-52bba48a574f","(206) 555-9003","chrisjohn","S-1-5-21-331390976-2650875657-2422772959-2002","Johnson","Johnson","Senior Engineer",
"Human Resources","CN=Chris Johnson [SALES]","True","Chris","chrisjohns@contoso.com","CN=April Stewart","Chris Johnson [SALES]","user","67b42b6c-6bd8-40e2-a622-fe69eacd3d47","(206) 555-9004","chrisjohns","S-1-5-21-331390976-2650875657-2422772959-2003","Johnson","Johnson","Salesperson",
